Year,Ireland(hectares),Germany(hectares),Netherlands(hectares)
1990,382200.00,11971000.00,879000.00
1991,370200.00,11559000.00,881000.00
1992,344200.00,11467000.00,887000.00
1993,364200.00,11676000.00,887000.00
1994,355200.00,11805000.00,885000.00
1995,371200.00,11835000.00,882000.00
1996,400200.00,11835000.00,895000.00
1997,376200.00,11832000.00,901000.00
1998,426200.00,11879000.00,906000.00
1999,417200.00,11822000.00,914000.00
2000,391200.00,11804000.00,1022700.00
2001,509200.00,11813000.00,1008800.00
2002,518200.00,11791000.00,1015200.00
2003,531230.00,11827000.00,1091100.00
2004,521650.00,11898000.00,1127500.00
2005,488690.00,11904000.00,1111000.00
2006,467080.00,11866000.00,1069800.00
2007,465450.00,11877000.00,1059800.00
2008,485650.00,11932000.00,1066600.00
2009,462590.00,11945000.00,1054700.00
2010,438840.00,11846000.00,1022600.00
2011,459140.00,11875000.00,1006000.00
2012,482610.00,11834000.00,1011000.00
2013,474040.00,11876000.00,1038400.00
2014,465180.00,11869000.00,1045000.00
2015,453000.00,11846000.00,1042000.00
2016,461000.00,11763000.00,1028000.00
2017,461000.00,11772000.00,1037000.00
2018,451000.00,11731000.00,1021000.00
2019,443000.00,11714000.00,1011100.00
2020,444000.00,11664000.00,1004830.00
