"Year","Barley(Tonnes)","Wheat(Tonnes)","Potatoes(Tonnes)",""
"1990","13992013.00","15241870.00","14471000.00",""
"1991","14493757.00","16611967.00","10200971.00",""
"1992","12196452.00","15541661.00","10896995.00",""
"1993","11005635.00","15766533.00","12260248.00",""
"1994","10902517.00","16480510.00","9668572.00",""
"1995","11891143.00","17763312.00","9898277.00",""
"1996","12074051.00","18921683.00","13099568.00",""
"1997","13398820.00","19826755.00","11659284.00",""
"1998","12512262.00","20187491.00","11337580.00",""
"1999","13300984.00","19615366.00","11568439.00",""
"2000","12105820.00","21621548.00","13192951.00",""
"2001","13494587.00","22837837.00","11502844.00",""
"2002","10927970.00","20817740.00","11113856.00",""
"2003","10595573.00","19259811.00","9915679.00",""
"2004","12992870.00","25427210.00","13043559.00",""
"2005","11613800.00","23692700.00","11624200.00",""
"2006","11966600.00","22427900.00","10030600.00",""
"2007","10384218.00","20828077.00","11643769.00",""
"2008","11967114.00","25988564.00","11369000.00",""
"2009","12288100.00","25192350.00","11683100.00",""
"2010","10326918.00","23782955.00","10143090.00",""
"2011","8733800.00","22782700.00","11837200.00",""
"2012","10391300.00","22409300.00","10665600.00",""
"2013","10343600.00","25019100.00","9669700.00",""
"2014","11562800.00","27784700.00","11607300.00",""
"2015","11629900.00","26549500.00","10370200.00",""
"2016","10730500.00","24463800.00","10772100.00",""
"2017","10853400.00","24481600.00","11720000.00",""
"2018","9583600.00","20263500.00","8920800.00",""
"2019","11591500.00","23062600.00","10602200.00",""
"2020","10769200.00","22172100.00","11715100.00",""
