Year,Ireland(mm),Germany(mm),Netherlands(mm)
1990,1186.73,734.15,729.29
1991,1070.58,604.17,657.72
1992,1129.81,735.03,813.90
1993,1229.93,793.47,868.94
1994,1309.49,789.20,888.58
1995,1155.17,781.44,802.49
1996,1144.33,622.39,585.78
1997,1147.89,665.63,673.95
1998,1314.98,808.89,1020.33
1999,1259.47,768.89,895.43
2000,1284.66,757.74,880.49
2001,971.09,812.38,928.55
2002,1451.22,910.58,915.08
2003,999.65,568.34,631.80
2004,1114.92,731.39,846.80
2005,1095.79,718.19,810.49
2006,1209.52,700.73,753.69
2007,1099.56,885.79,910.25
2008,1348.08,720.15,843.28
2009,1379.24,751.49,754.39
2010,1052.34,789.24,793.56
2011,1169.23,677.60,759.69
2012,1215.64,726.41,842.66
2013,1122.51,741.73,721.25
2014,1352.80,713.49,761.15
2015,1367.08,655.25,816.79
2016,1124.15,713.24,782.77
2017,1174.26,814.74,859.07
2018,1206.47,571.21,633.68
2019,1289.40,676.23,807.40
2020,1351.05,661.60,775.13
