,Netherlands(hectares),Netherlands(mm),Netherlands(C),Potatoes(Tonnes),Netherlands
0,879000.0,729.29,10.74,7036200.0,258551.8275862069
1,881000.0,657.72,9.52,6949201.0,298410.0
2,887000.0,813.9,10.39,7641000.0,296570.0
3,887000.0,868.94,9.49,7698500.0,293098.0
4,885000.0,888.58,10.55,7088000.0,291458.0
5,882000.0,802.49,10.27,7340000.0,282438.0
6,895000.0,585.78,8.37,8081000.0,282413.0
7,901000.0,673.95,10.11,7973000.0,284494.0
8,906000.0,1020.33,10.21,5249400.0,272609.0
9,914000.0,895.43,10.86,8331000.0,255613.0
10,1022700.0,880.49,10.83,8227000.0,267628.0
11,1008800.0,928.55,10.28,7115000.0,259199.0
12,1015200.0,915.08,10.72,7362738.0,248236.0
13,1091100.0,631.8,10.55,6468762.0,257849.0
14,1127500.0,846.8,10.28,7487700.0,282651.0
15,1111000.0,810.49,10.52,6777000.0,310328.0
16,1069800.0,753.69,10.91,6239600.0,307815.0
17,1059800.0,910.25,11.04,6870400.0,287479.0
18,1066600.0,843.28,10.53,6922700.0,277933.0
19,1054700.0,754.39,10.47,7180981.0,277109.0
20,1022600.0,793.56,9.04,6843529.0,270182.0
21,1006000.0,759.69,10.88,7333472.0,246019.0
22,1011000.0,842.66,10.22,6765618.0,244637.0
23,1038400.0,721.25,9.74,6576860.0,188736.0
24,1045000.0,761.15,11.61,7100258.0,205329.0
25,1042000.0,816.79,10.86,6651692.0,209609.0
26,1028000.0,782.77,10.65,6534338.0,204563.0
27,1037000.0,859.07,10.89,7391881.0,206817.0
28,1021000.0,633.68,11.4,6025370.0,193802.0
29,1011100.0,807.4,11.24,6961230.0,194979.0
30,1004830.0,775.13,11.66,7020060.0,258551.8275862069
